Time : 12:58:11; X : 4.440667867794791; Y : -6.005496157508923; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027526128010721074
Time : 12:58:11; X : 4.434894827439334; Y : -6.013668260309422; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02790639060125688
Time : 12:58:11; X : 4.429095205336059; Y : -6.0218320791027935; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02817524461352594
Time : 12:58:11; X : 4.4232700489655645; Y : -6.029984163685615; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02839864519891222
Time : 12:58:11; X : 4.4174189658417164; Y : -6.038124232000214; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028584269405159013
Time : 12:58:11; X : 4.411541472965649; Y : -6.0462522199102695; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02873647592047668
Time : 12:58:11; X : 4.405637218923664; Y : -6.05436793591181; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02886025918189894
Time : 12:58:11; X : 4.399707071926563; Y : -6.062469629326303; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028951154620635577
Time : 12:58:11; X : 4.393755935686883; Y : -6.070550070951472; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02901710173354033
Time : 12:58:12; X : 4.387849661378687; Y : -6.078517854093845; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027857531111594724
Time : 12:58:12; X : 4.381958163852035; Y : -6.086395461028316; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02751366566252411
Time : 12:58:12; X : 4.375942700763515; Y : -6.094389291198082; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02783786216436912
Time : 12:58:12; X : 4.369901100860741; Y : -6.102373786267941; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02810683354710708
Time : 12:58:12; X : 4.363834323584836; Y : -6.11034581433657; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028335707633816654
Time : 12:58:12; X : 4.357742036221733; Y : -6.118305011881492; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02852764400237806
Time : 12:58:12; X : 4.351623801236464; Y : -6.12625126071293; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028685446151446747
